,Date,Portfolio_Value,Cash,Exposure,Total_Shares,Price
67,2015-04-09,100000.0,100000.0,0.0,0,21.03145408630371
68,2015-04-10,100000.0,100000.0,0.0,0,21.352893829345703
69,2015-04-13,100000.0,100000.0,0.0,0,21.063596725463867
70,2015-04-14,100000.0,100000.0,0.0,0,21.18069076538086
71,2015-04-15,100000.0,100000.0,0.0,0,21.47917366027832
72,2015-04-16,100000.0,100000.0,0.0,0,21.444734573364258
73,2015-04-17,100000.0,100000.0,0.0,0,20.70771598815918
74,2015-04-20,100000.0,100000.0,0.0,0,21.263351440429688
75,2015-04-21,100000.0,100000.0,0.0,0,21.194467544555664
76,2015-04-22,100000.0,100000.0,0.0,0,21.518207550048828
77,2015-04-23,100000.0,100000.0,0.0,0,21.66055679321289
78,2015-04-24,100000.0,100000.0,0.0,0,21.82128143310547
79,2015-04-27,100000.0,100000.0,0.0,0,21.53657341003418
80,2015-04-28,100000.0,100000.0,0.0,0,21.73402976989746
81,2015-04-29,100000.0,100000.0,0.0,0,21.476879119873047
82,2015-04-30,100000.0,100000.0,0.0,0,20.83858871459961
83,2015-05-01,100000.0,100000.0,0.0,0,21.4837646484375
84,2015-05-04,100000.0,100000.0,0.0,0,21.690410614013672
85,2015-05-05,100000.0,100000.0,0.0,0,20.928133010864258
86,2015-05-06,100000.0,100000.0,0.0,0,20.687047958374023
87,2015-05-07,100000.0,100000.0,0.0,0,20.923542022705078
88,2015-05-08,100000.0,100000.0,0.0,0,21.740924835205078
89,2015-05-11,100000.0,100000.0,0.0,0,21.430959701538086
90,2015-05-12,100000.0,100000.0,0.0,0,21.22890853881836
91,2015-05-13,100000.0,100000.0,0.0,0,21.254167556762695
92,2015-05-14,100000.0,100000.0,0.0,0,21.908527374267578
93,2015-05-15,100000.0,100000.0,0.0,0,21.981998443603516
94,2015-05-18,100000.0,100000.0,0.0,0,22.188644409179688
95,2015-05-19,100000.0,100000.0,0.0,0,22.154199600219727
96,2015-05-20,100000.0,100000.0,0.0,0,22.10828399658203
97,2015-05-21,100000.0,100000.0,0.0,0,22.30573844909668
98,2015-05-22,100000.0,100000.0,0.0,0,22.140426635742188
99,2015-05-26,100000.0,100000.0,0.0,0,21.45850944519043
100,2015-05-27,100000.0,100000.0,0.0,0,22.032514572143555
101,2015-05-28,100000.0,100000.0,0.0,0,21.979707717895508
102,2015-05-29,100000.0,100000.0,0.0,0,21.550350189208984
103,2015-06-01,100000.0,100000.0,0.0,0,21.676633834838867
104,2015-06-02,100000.0,100000.0,0.0,0,21.600868225097656
105,2015-06-03,100000.0,100000.0,0.0,0,21.79143524169922
106,2015-06-04,100000.0,100000.0,0.0,0,21.279422760009766
107,2015-06-05,100000.0,100000.0,0.0,0,21.114107131958008
108,2015-06-08,100000.0,100000.0,0.0,0,20.73297691345215
109,2015-06-09,100000.0,100000.0,0.0,0,20.703121185302734
110,2015-06-10,100000.0,100000.0,0.0,0,21.463104248046875
111,2015-06-11,100000.0,100000.0,0.0,0,21.6651554107666
112,2015-06-12,100000.0,100000.0,0.0,0,21.176103591918945
113,2015-06-15,100000.0,100000.0,0.0,0,20.868436813354492
114,2015-06-16,100000.0,100000.0,0.0,0,21.233505249023438
115,2015-06-17,100000.0,100000.0,0.0,0,21.334529876708984
116,2015-06-18,100000.0,100000.0,0.0,0,21.979707717895508
117,2015-06-19,100000.0,100000.0,0.0,0,21.589384078979492
118,2015-06-22,100000.0,100000.0,0.0,0,22.032514572143555
119,2015-06-23,100000.0,100000.0,0.0,0,22.0853214263916
120,2015-06-24,100000.0,100000.0,0.0,0,21.607751846313477
121,2015-06-25,100000.0,100000.0,0.0,0,21.403411865234375
122,2015-06-26,100000.0,100000.0,0.0,0,21.394224166870117
123,2015-06-29,100000.0,100000.0,0.0,0,20.04876136779785
124,2015-06-30,100000.0,100000.0,0.0,0,20.197998046875
125,2015-07-01,100000.0,100000.0,0.0,0,20.631946563720703
126,2015-07-02,100000.0,100000.0,0.0,0,20.581436157226562
127,2015-07-06,100000.0,100000.0,0.0,0,20.4138240814209
128,2015-07-07,100000.0,100000.0,0.0,0,20.778894424438477
129,2015-07-08,100000.0,100000.0,0.0,0,19.747982025146484
130,2015-07-09,100000.0,100000.0,0.0,0,19.844417572021484
131,2015-07-10,100000.0,100000.0,0.0,0,20.58831787109375
132,2015-07-13,100000.0,100000.0,0.0,0,21.267946243286133
133,2015-07-14,100000.0,100000.0,0.0,0,21.548051834106445
134,2015-07-15,100000.0,100000.0,0.0,0,21.529687881469727
135,2015-07-16,100000.0,100000.0,0.0,0,21.993480682373047
136,2015-07-17,100000.0,100000.0,0.0,0,22.094501495361328
137,2015-07-20,100000.0,100000.0,0.0,0,22.13583755493164
138,2015-07-21,100000.0,100000.0,0.0,0,21.864906311035156
139,2015-07-22,100000.0,100000.0,0.0,0,21.731740951538086
140,2015-07-23,100000.0,100000.0,0.0,0,21.3758544921875
141,2015-07-24,100000.0,100000.0,0.0,0,20.70771598815918
142,2015-07-27,100000.0,100000.0,0.0,0,20.344942092895508
143,2015-07-28,100000.0,100000.0,0.0,0,21.0750789642334
144,2015-07-29,100000.0,100000.0,0.0,0,21.518207550048828
145,2015-07-30,100000.0,100000.0,0.0,0,21.531980514526367
146,2015-07-31,100000.0,100000.0,0.0,0,21.428661346435547
147,2015-08-03,100000.0,100000.0,0.0,0,21.210540771484375
148,2015-08-04,100000.0,100000.0,0.0,0,21.072776794433594
149,2015-08-05,100000.0,100000.0,0.0,0,21.290904998779297
150,2015-08-06,100000.0,100000.0,0.0,0,20.797266006469727
151,2015-08-07,100000.0,100000.0,0.0,0,20.652612686157227
152,2015-08-10,100000.0,100000.0,0.0,0,21.414880752563477
153,2015-08-11,100000.0,100000.0,0.0,0,20.845474243164062
154,2015-08-12,100000.0,100000.0,0.0,0,20.921245574951172
155,2015-08-13,100000.0,100000.0,0.0,0,20.829402923583984
156,2015-08-14,100000.0,100000.0,0.0,0,21.061304092407227
157,2015-08-17,100000.0,100000.0,0.0,0,21.39651870727539
158,2015-08-18,100000.0,100000.0,0.0,0,21.212833404541016
159,2015-08-19,100000.0,100000.0,0.0,0,20.710010528564453
160,2015-08-20,100000.0,100000.0,0.0,0,19.403581619262695
161,2015-08-21,100000.0,80003.78839492798,0.1999621160507202,1138,17.57136344909668
162,2015-08-24,97583.11202812195,65004.20733356476,0.34995792666435244,2109,15.44756031036377
163,2015-08-25,96377.38043498993,65004.20733356476,0.34995792666435244,2109,14.875852584838867
164,2015-08-26,100052.67158985138,65004.20733356476,0.34995792666435244,2109,16.61852264404297
165,2015-08-27,102604.55965900421,65004.20733356476,0.34995792666435244,2109,17.828521728515625
166,2015-08-28,102609.38677692413,65004.20733356476,0.34995792666435244,2109,17.830810546875
167,2015-08-31,101655.4718465805,65004.20733356476,0.34995792666435244,2109,17.378503799438477
168,2015-09-01,98382.08451843262,65004.20733356476,0.34995792666435244,2109,15.826399803161621
169,2015-09-02,100260.88932132721,65004.20733356476,0.34995792666435244,2109,16.71725082397461
170,2015-09-03,100304.47417354584,65004.20733356476,0.34995792666435244,2109,16.737916946411133
171,2015-09-04,98740.41354942322,65004.20733356476,0.34995792666435244,2109,15.996304512023926
172,2015-09-08,101326.1940202713,65004.20733356476,0.34995792666435244,2109,17.222373962402344
173,2015-09-09,99810.55140018463,65004.20733356476,0.34995792666435244,2109,16.503719329833984
174,2015-09-10,100372.25897693634,65004.20733356476,0.34995792666435244,2109,16.770057678222656
175,2015-09-11,100851.64408016205,65004.20733356476,0.34995792666435244,2109,16.99736213684082
176,2015-09-14,100430.36943149567,65004.20733356476,0.34995792666435244,2109,16.797611236572266
177,2015-09-15,101815.25749492645,65004.20733356476,0.34995792666435244,2109,17.454267501831055
178,2015-09-16,102759.51818943024,65004.20733356476,0.34995792666435244,2109,17.901996612548828
179,2015-09-17,102488.34679508209,65004.20733356476,0.34995792666435244,2109,17.773418426513672
180,2015-09-18,100619.22639751434,65004.20733356476,0.34995792666435244,2109,16.88715934753418
181,2015-09-21,101176.08272075653,65004.20733356476,0.34995792666435244,2109,17.15119743347168
182,2015-09-22,99800.87302875519,65004.20733356476,0.34995792666435244,2109,16.499130249023438
183,2015-09-23,99612.02008533478,65004.20733356476,0.34995792666435244,2109,16.409584045410156
184,2015-09-24,99287.60155773163,65004.20733356476,0.34995792666435244,2109,16.25575828552246
185,2015-09-25,99171.36053562164,65004.20733356476,0.34995792666435244,2109,16.200641632080078
186,2015-09-28,96575.91174983978,65004.20733356476,0.34995792666435244,2109,14.969987869262695
187,2015-09-29,96663.06938648224,65004.20733356476,0.34995792666435244,2109,15.011314392089844
188,2015-09-30,98449.86932182312,65004.20733356476,0.34995792666435244,2109,15.858540534973145
189,2015-10-01,98721.0427274704,65004.20733356476,0.34995792666435244,2109,15.987119674682617
190,2015-10-02,100168.89249897003,65004.20733356476,0.34995792666435244,2109,16.673629760742188
191,2015-10-05,102067.05605602264,65004.20733356476,0.34995792666435244,2109,17.573659896850586
192,2015-10-06,101699.04060840607,65004.20733356476,0.34995792666435244,2109,17.39916229248047
193,2015-10-07,102604.55965900421,65004.20733356476,0.34995792666435244,2109,17.828521728515625
194,2015-10-08,103631.11064624786,65004.20733356476,0.34995792666435244,2109,18.315269470214844
195,2015-10-09,103679.54675197601,65004.20733356476,0.34995792666435244,2109,18.33823585510254
196,2015-10-12,103829.65805149078,65004.20733356476,0.34995792666435244,2109,18.409412384033203
197,2015-10-13,103040.36393260956,65004.20733356476,0.34995792666435244,2109,18.0351619720459
198,2015-10-14,102483.49554157257,65004.20733356476,0.34995792666435244,2109,17.7711181640625
199,2015-10-15,104187.98305988312,65004.20733356476,0.34995792666435244,2109,18.579315185546875
200,2015-10-16,104696.42339038849,65004.20733356476,0.34995792666435244,2109,18.820396423339844
201,2015-10-19,104788.43228054047,65004.20733356476,0.34995792666435244,2109,18.864023208618164
202,2015-10-20,104618.94412517548,65004.20733356476,0.34995792666435244,2109,18.783658981323242
203,2015-10-21,103911.96443462372,65004.20733356476,0.34995792666435244,2109,18.44843864440918
204,2015-10-22,105844.04251766205,65004.20733356476,0.34995792666435244,2109,19.36454963684082
205,2015-10-23,107214.3969335556,107214.3969335556,0.0,0,20.014314651489258
206,2015-10-26,107214.3969335556,107214.3969335556,0.0,0,19.8627872467041
207,2015-10-27,107214.3969335556,107214.3969335556,0.0,0,19.750274658203125
208,2015-10-28,107214.3969335556,107214.3969335556,0.0,0,20.425304412841797
209,2015-10-29,107214.3969335556,107214.3969335556,0.0,0,20.400053024291992
210,2015-10-30,107214.3969335556,107214.3969335556,0.0,0,20.117643356323242
211,2015-11-02,107214.3969335556,107214.3969335556,0.0,0,20.82480812072754
212,2015-11-03,107214.3969335556,107214.3969335556,0.0,0,21.001604080200195
213,2015-11-04,107214.3969335556,107214.3969335556,0.0,0,20.827110290527344
214,2015-11-05,107214.3969335556,107214.3969335556,0.0,0,20.746746063232422
215,2015-11-06,107214.3969335556,107214.3969335556,0.0,0,20.71689796447754
216,2015-11-09,107214.3969335556,107214.3969335556,0.0,0,20.13371467590332
217,2015-11-10,107214.3969335556,107214.3969335556,0.0,0,20.262290954589844
218,2015-11-11,107214.3969335556,107214.3969335556,0.0,0,20.021207809448242
219,2015-11-12,107214.3969335556,107214.3969335556,0.0,0,19.210718154907227
