Date,Close,High,Low,Open,Volume
2019-12-31,64.2586441040039,64.39478470183859,63.19868382759828,63.42234762067306,2683000
2020-01-02,66.03821563720703,66.03821563720703,64.62817720679625,65.25053643845781,3682700
2020-01-03,64.453125,65.2699759610902,63.70435175318091,63.76269560072102,4668100
2020-01-06,65.20191192626953,65.26025577941151,63.27648316241331,63.315381537543445,2946000
2020-01-07,64.7059555053711,65.17272108639865,64.38504953147392,64.9101663744588,2767300
2020-01-08,65.69786834716797,66.4952667181279,64.6573606262921,64.83239965499592,3876200
2020-01-09,67.03010559082031,67.07873042506303,66.35912145763278,66.75782432492046,2889400
2020-01-10,66.39801025390625,67.49686902861815,66.12572902732146,67.45797065066219,3883300
2020-01-13,67.83722686767578,67.83722686767578,66.56332898330001,66.84533668536464,2859000
2020-01-14,67.46768188476562,68.20673614231553,67.10788491368557,67.50658025822679,3751400
2020-01-15,67.9441909790039,68.44012861759802,67.35100368348655,67.41907399186852,3346900
2020-01-16,69.53900146484375,69.56817340016958,68.70270469632912,68.848571792067,3158100
2020-01-17,70.25858306884766,70.34609884990759,69.63622389539954,70.09327053633007,3368900
2020-01-21,69.75291442871094,70.31692229186739,69.48062581654186,69.51952418970887,3736300
2020-01-22,69.85987854003906,70.81287017386661,69.7140189085761,70.38499547062489,2433100
2020-01-23,70.04464721679688,70.13217041884381,68.55681955395951,69.33477224703721,3439700
2020-01-24,68.1192398071289,70.50170836349332,67.2537711531609,70.50170836349332,6223400
2020-01-27,64.86155700683594,65.84372063702281,64.32672100873542,64.56010385483188,5682800
2020-01-28,66.8453369140625,67.43852425162315,65.4644777495246,65.76593093385264,3635700
2020-01-29,66.72864532470703,67.92473896167424,66.57305180689589,67.79832479278315,3443600
2020-01-30,67.35100555419922,67.47741972496061,64.8032173056517,65.3186078575886,4689600
2020-01-31,63.69463348388672,67.01064773482975,63.07227429986278,66.91339808430182,8799300
2020-02-03,65.04633331298828,66.27160644314483,64.55038819045451,64.58928657448737,4527700
2020-02-04,68.080322265625,68.60543918079517,67.22457288426348,67.43851022960385,4015400
2020-02-05,70.35582733154297,70.52113986883725,69.04303864396499,70.0349212868375,4014200
2020-02-06,71.11432647705078,71.21157612783995,70.33638120448441,71.02681069426859,3119200
