,Date,Portfolio_Value,Cash,Total_Shares,Avg_Entry,Current_Price,Daily_Return,Cumulative_Return,Drawdown
0,2019-12-31,100000.0,100000.0,0,0.0,64.2586441040039,,,0.0
1,2020-01-02,100000.0,100000.0,0,0.0,66.03821563720703,0.0,0.0,0.0
2,2020-01-03,100000.0,100000.0,0,0.0,64.453125,0.0,0.0,0.0
3,2020-01-06,100000.0,100000.0,0,0.0,65.20191192626953,0.0,0.0,0.0
4,2020-01-07,100000.0,100000.0,0,0.0,64.7059555053711,0.0,0.0,0.0
5,2020-01-08,100000.0,100000.0,0,0.0,65.69786834716797,0.0,0.0,0.0
6,2020-01-09,100000.0,100000.0,0,0.0,67.03010559082031,0.0,0.0,0.0
7,2020-01-10,100000.0,100000.0,0,0.0,66.39801025390625,0.0,0.0,0.0
8,2020-01-13,100000.0,100000.0,0,0.0,67.83722686767578,0.0,0.0,0.0
9,2020-01-14,100000.0,100000.0,0,0.0,67.46768188476562,0.0,0.0,0.0
10,2020-01-15,100000.0,100000.0,0,0.0,67.9441909790039,0.0,0.0,0.0
11,2020-01-16,100000.0,100000.0,0,0.0,69.53900146484375,0.0,0.0,0.0
12,2020-01-17,100000.0,100000.0,0,0.0,70.25858306884766,0.0,0.0,0.0
13,2020-01-21,100000.0,100000.0,0,0.0,69.75291442871094,0.0,0.0,0.0
14,2020-01-22,100000.0,100000.0,0,0.0,69.85987854003906,0.0,0.0,0.0
15,2020-01-23,100000.0,100000.0,0,0.0,70.04464721679688,0.0,0.0,0.0
16,2020-01-24,100000.0,100000.0,0,0.0,68.1192398071289,0.0,0.0,0.0
17,2020-01-27,100000.0,100000.0,0,0.0,64.86155700683594,0.0,0.0,0.0
18,2020-01-28,100000.0,100000.0,0,0.0,66.8453369140625,0.0,0.0,0.0
19,2020-01-29,100000.0,100000.0,0,0.0,66.72864532470703,0.0,0.0,0.0
20,2020-01-30,100000.0,100000.0,0,0.0,67.35100555419922,0.0,0.0,0.0
